ID,ACCOUNT,OPEN_BAL,BALANCE,OPENDATE,ACCT,CUSTREF,ACCTREF
ID12796,CURRENT,150.320000,224.880000,7/2/1998,CU,12796,84468
ID12797,SAVE,1211.890000,1234.310000,30/7/1998,SA,12797,34045
ID12797,CURRENT,512.920000,597.450000,9/8/1998,CU,12797,18637
ID12798,SAVE,541.130000,541.200000,21/12/1998,SA,12798,22478
ID12798,CURRENT,735.480000,820.430000,21/5/1998,CU,12798,43793
ID12799,SAVE,298.150000,325.160000,19/7/1998,SA,12799,32279
ID12799,CURRENT,55.430000,69.730000,28/10/1998,CU,12799,32845
ID12800,SAVE,88.850000,173.000000,26/2/1998,SA,12800,91627
ID12800,CURRENT,610.900000,655.450000,29/7/1998,CU,12800,57784
ID12801,SAVE,319.550000,390.000000,17/12/1998,SA,12801,48327
ID12802,CURRENT,1034.090000,1056.820000,27/5/1998,CU,12802,25045
ID12802,CURRENT,1311.470000,1409.950000,22/7/1998,CU,12802,93554
ID12803,SAVE,1471.710000,1564.600000,13/7/1998,SA,12803,10897
ID12804,SAVE,2209.380000,2245.980000,16/4/1998,SA,12804,47633
ID12804,CURRENT,1204.610000,1287.720000,2/5/1998,CU,12804,96925
ID12805,CURRENT,5171.410000,5181.480000,7/11/1998,CU,12805,49904
ID12806,CURRENT,2420.340000,2449.860000,18/6/1998,CU,12806,88590
ID12806,CURRENT,2213.750000,2313.020000,30/2/1998,CU,12806,77646
ID12807,CURRENT,4546.000000,4619.810000,11/2/1998,CU,12807,79886
ID12807,CURRENT,398.050000,494.870000,20/5/1998,CU,12807,49398
ID12808,SAVE,226.000000,241.800000,20/7/1998,SA,12808,26941
ID12808,CURRENT,1320.700000,1339.700000,23/5/1998,CU,12808,31979
ID12809,SAVE,286.120000,302.840000,7/3/1998,SA,12809,23101
ID12809,CURRENT,790.200000,880.850000,6/9/1998,CU,12809,73517
ID12810,CURRENT,808.330000,863.250000,14/5/1998,CU,12810,45720
ID12811,SAVE,260.210000,290.490000,12/6/1998,SA,12811,83372
ID12812,CURRENT,915.790000,946.680000,16/1/1998,CU,12812,26699
ID12813,CURRENT,328.920000,414.050000,4/2/1998,CU,12813,95176
ID12813,CURRENT,276.390000,316.380000,23/3/1998,CU,12813,87889
ID12814,CURRENT,103.010000,113.240000,3/2/1998,CU,12814,52960
ID12815,CURRENT,52.480000,100.590000,7/8/1998,CU,12815,66547
ID12816,SAVE,113.880000,132.180000,10/3/1998,SA,12816,79110
ID12816,CURRENT,46.500000,125.250000,21/9/1998,CU,12816,68667
ID12817,CURRENT,67.910000,119.760000,24/12/1998,CU,12817,26284
ID12817,CURRENT,258.930000,294.280000,25/7/1998,CU,12817,11348
ID12818,SAVE,321.240000,332.480000,22/4/1998,SA,12818,75746
ID12818,CURRENT,336.330000,409.960000,3/9/1998,CU,12818,64293
ID12819,SAVE,114.180000,209.360000,13/2/1998,SA,12819,97552
ID12819,CURRENT,269.330000,332.760000,8/2/1998,CU,12819,78466
ID12819,CURRENT,328.540000,358.260000,23/9/1998,CU,12819,50338
ID12820,CURRENT,473.400000,537.350000,27/3/1998,CU,12820,53191
ID12821,SAVE,195.220000,252.830000,7/4/1998,SA,12821,52014
ID12821,CURRENT,276.720000,287.340000,10/8/1998,CU,12821,76957
ID12821,CURRENT,2117.750000,2169.620000,22/12/1998,CU,12821,58515
ID12822,SAVE,184.560000,220.540000,28/4/1998,SA,12822,70176
ID12822,CURRENT,144.800000,156.150000,5/5/1998,CU,12822,93771
ID12822,CURRENT,391.720000,459.700000,16/1/1998,CU,12822,21514
ID12823,CURRENT,305.050000,402.250000,5/9/1998,CU,12823,77366
ID12823,CURRENT,1103.160000,1180.390000,28/2/1998,CU,12823,27255
ID12824,CURRENT,118.850000,145.550000,17/2/1998,CU,12824,14105
ID12825,SAVE,349.620000,446.510000,9/3/1998,SA,12825,44488
ID12825,CURRENT,215.600000,250.620000,20/11/1998,CU,12825,37366
ID12825,CURRENT,2042.540000,2096.630000,20/8/1998,CU,12825,46445
ID12826,SAVE,290.160000,389.690000,26/9/1998,SA,12826,90879
ID12827,CURRENT,2888.960000,2956.090000,3/10/1998,CU,12827,13770
ID12827,CURRENT,300.280000,382.400000,13/5/1998,CU,12827,76047
ID12828,SAVE,410.170000,485.610000,18/11/1998,SA,12828,24589
ID12828,CURRENT,1490.770000,1549.210000,26/8/1998,CU,12828,20799
ID12828,CURRENT,276.750000,293.350000,7/3/1998,CU,12828,70197
ID12829,CURRENT,90.920000,172.500000,9/10/1998,CU,12829,12787
ID12830,SAVE,99.690000,131.900000,7/2/1998,SA,12830,76029
ID12830,CURRENT,142.520000,222.020000,30/7/1998,CU,12830,34126
ID12831,SAVE,158.130000,190.730000,9/8/1998,SA,12831,32969
ID12831,CURRENT,1102.120000,1128.370000,21/12/1998,CU,12831,22993
ID12832,CURRENT,1140.760000,1175.420000,21/5/1998,CU,12832,30491
